# t, hp, hx
2.459891788100000004e-02 -1.300940187299999941e-03 3.171135305900000109e-07
2.462269013599999862e-02 -1.027849104199999924e-03 4.145853270100000161e-07
2.464646103800000043e-02 -8.405989755199999754e-04 4.342519866500000260e-07
2.467022866600000058e-02 -7.550648713399999963e-04 4.680726454699999953e-07
2.469399901900000069e-02 -7.767939629200000442e-04 4.528482082899999867e-07
2.471776447700000170e-02 -9.624307061800000144e-04 3.927340270700000138e-07
2.474152942999999910e-02 -1.308556576799999906e-03 2.879609513900000163e-07
2.476529502100000002e-02 -1.798600559300000002e-03 1.954442271000000108e-07
2.478906134499999844e-02 -2.392707175499999943e-03 2.120356522499999895e-07
2.481282148099999904e-02 -2.899921507999999887e-03 2.053120088599999976e-07
2.483658513800000162e-02 -3.133770596999999915e-03 1.758354879400000069e-07
2.486034733300000049e-02 -3.107149121200000145e-03 2.092071415799999977e-07
2.488410840899999907e-02 -2.882986319000000169e-03 2.421955160599999741e-07
2.490786946499999946e-02 -2.490284075200000034e-03 2.151740424100000100e-07
2.493163560399999992e-02 -2.058260856599999824e-03 1.748289538400000045e-07
2.495540355900000007e-02 -1.665347214400000105e-03 1.978899580599999895e-07
2.497916975699999986e-02 -1.329205403099999964e-03 2.664751975500000213e-07
2.500237809299999878e-02 -1.031517142099999977e-03 3.559410584400000220e-07
2.502614316299999961e-02 -7.980725152199999494e-04 4.492247021399999929e-07
2.504990647999999834e-02 -6.735131013100000355e-04 5.360063799900000258e-07
2.507367078699999918e-02 -6.736014170399999904e-04 5.726662922699999589e-07
2.509743776099999935e-02 -8.635930178499999716e-04 6.012067348899999965e-07
2.512120101500000049e-02 -1.239152978599999955e-03 7.578975239699999941e-07
2.514496584499999882e-02 -1.760238319900000060e-03 1.117229464499999969e-06
2.516873537200000135e-02 -2.369783865399999797e-03 1.723119910200000021e-06
2.519250116100000061e-02 -2.882550189699999849e-03 2.520553738799999916e-06
2.521626141299999901e-02 -3.104458404899999857e-03 3.394481122300000210e-06
2.524002667499999908e-02 -3.053368285600000127e-03 4.221266940100000356e-06
2.526379692499999829e-02 -2.806749016199999985e-03 4.925370302600000389e-06
2.528755973700000034e-02 -2.409720977700000131e-03 5.387692876400000392e-06
2.531131843500000062e-02 -1.996631415099999959e-03 5.502348801899999743e-06
2.533508021100000160e-02 -1.610447682100000057e-03 5.217581178199999663e-06
2.535883140399999847e-02 -1.267873522400000084e-03 4.448850043600000050e-06
2.538259538899999973e-02 -9.800552293500000046e-04 3.195171863399999899e-06
2.540636187199999882e-02 -7.438822439599999514e-04 1.571125739700000060e-06
2.543012658700000150e-02 -6.303608649500000265e-04 -2.279565159999999989e-07
2.545389871100000104e-02 -6.781619632700000479e-04 -1.978441634600000048e-06
2.547767051399999969e-02 -9.139840686399999976e-04 -3.390702697800000103e-06
2.550144201099999869e-02 -1.317023131600000060e-03 -4.222769995799999896e-06
2.552521717400000126e-02 -1.840311561199999956e-03 -4.399139627699999688e-06
2.554899066899999835e-02 -2.420097878299999963e-03 -4.014086384400000277e-06
2.557276702300000093e-02 -2.871875438800000103e-03 -3.276053964900000184e-06
2.559654216200000013e-02 -3.020542851800000084e-03 -2.519824460499999949e-06
2.562031490700000108e-02 -2.932358399600000151e-03 -2.094730200700000205e-06
2.564408689800000071e-02 -2.661802087400000003e-03 -2.192194729899999817e-06
2.566785155900000101e-02 -2.262833914200000109e-03 -2.818105172800000050e-06
2.569161648699999981e-02 -1.878583885500000007e-03 -3.866059986700000349e-06
2.571537616300000051e-02 -1.520468531499999908e-03 -5.236847584500000388e-06
2.573913401399999940e-02 -1.214334380299999898e-03 -6.753550415700000135e-06
2.576289943700000099e-02 -9.556226005000000327e-04 -8.070808697199999279e-06
2.578666326100000072e-02 -7.492341559300000212e-04 -8.851520656599999438e-06
2.581043222900000073e-02 -6.855608913399999530e-04 -8.938183785300000622e-06
2.583420304200000073e-02 -8.111369666500000157e-04 -8.195739929399999921e-06
2.585797304100000138e-02 -1.112274444500000077e-03 -6.703456170100000178e-06
2.588176427400000132e-02 -1.556076165300000020e-03 -4.772879720200000351e-06
2.590555310400000089e-02 -2.099998694299999927e-03 -2.723422293899999953e-06
2.592934203800000004e-02 -2.642668065799999924e-03 -8.565781570499999804e-07
2.595313129000000052e-02 -2.972000172500000210e-03 6.934135576700000427e-07
2.597691450200000085e-02 -2.998117525599999951e-03 1.652800707999999898e-06
2.600059525699999902e-02 -2.842655434399999834e-03 1.984953481300000195e-06
2.602437313200000116e-02 -2.522331416099999994e-03 1.902463303599999991e-06
2.604814114499999847e-02 -2.130516257400000019e-03 1.397770459200000016e-06
2.607190392599999934e-02 -1.772748287900000053e-03 6.105554132000000095e-07
2.609567721699999898e-02 -1.440289556999999922e-03 -2.512748326999999964e-07
2.611944282100000028e-02 -1.163262987999999932e-03 -1.081331120299999954e-06
2.614320832400000155e-02 -9.274142713400000508e-04 -1.776778925199999908e-06
2.616696829600000107e-02 -7.640490968000000251e-04 -2.211089174499999952e-06
2.619072894399999962e-02 -7.214014271699999885e-04 -2.403151295199999892e-06
2.621448915700000035e-02 -8.201483559600000100e-04 -2.664835219800000013e-06
2.623825096699999859e-02 -1.064638845100000092e-03 -3.407348685200000012e-06
2.626201158800000116e-02 -1.434063323600000056e-03 -4.913112149200000089e-06
2.628577674799999903e-02 -1.916890313700000091e-03 -7.410036421000000079e-06
